age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country
28.0,Private,84119.0,12th,9.0,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,4787.0,2282.0,46.0,Vietnam
27.0,Private,40623.0,1st-4th,9.0,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,594.0,0.0,23.0,Vietnam
28.0,Private,107435.0,12th,8.0,Married-spouse-absent,Handlers-cleaners,Not-in-family,White,Male,1797.0,0.0,41.0,Vietnam
28.0,Private,52131.0,1st-4th,8.0,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,914.0,0.0,21.0,Vietnam
29.0,Private,109609.0,12th,9.0,Married-civ-spouse,Farming-fishing,Not-in-family,White,Male,4101.0,1408.0,49.0,Vietnam
34.0,Private,63363.0,12th,12.0,Married-civ-spouse,Craft-repair,Unmarried,White,Female,0.0,0.0,20.0,Yugoslavia
33.0,Private,91145.0,12th,10.0,Married-civ-spouse,Exec-managerial,Unmarried,White,Female,594.0,0.0,35.0,Vietnam
21.0,Self-emp-inc,345121.0,1st-4th,11.0,Married-civ-spouse,Exec-managerial,Husband,Amer-Indian-Eskimo,Male,2829.0,0.0,72.0,Cuba
32.0,Local-gov,29054.0,1st-4th,15.0,Married-AF-spouse,Exec-managerial,Wife,White,Female,0.0,0.0,2.0,Yugoslavia
26.0,Private,120939.0,1st-4th,8.0,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,1264.0,0.0,38.0,Vietnam
30.0,Private,91189.0,12th,8.0,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,3103.0,0.0,33.0,Vietnam
30.0,Private,92431.0,12th,8.0,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,1731.0,0.0,25.0,Vietnam
32.0,Local-gov,43887.0,1st-4th,15.0,Married-AF-spouse,Craft-repair,Unmarried,White,Female,0.0,0.0,6.0,Yugoslavia
28.0,Private,54202.0,1st-4th,9.0,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,914.0,0.0,26.0,Vietnam
29.0,Private,103179.0,11th,8.0,Married-civ-spouse,Farming-fishing,Husband,White,Male,8614.0,2824.0,47.0,Vietnam
34.0,Private,89821.0,12th,11.0,Married-civ-spouse,Craft-repair,Unmarried,White,Female,401.0,0.0,39.0,Vietnam
29.0,Private,62605.0,1st-4th,8.0,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,1086.0,0.0,27.0,Vietnam
30.0,Private,100303.0,12th,9.0,Married-civ-spouse,Farming-fishing,Husband,White,Male,3674.0,0.0,44.0,Vietnam
30.0,Private,116677.0,12th,7.0,Married-spouse-absent,Handlers-cleaners,Husband,White,Male,2346.0,0.0,30.0,Vietnam
30.0,Private,104164.0,12th,7.0,Married-civ-spouse,Farming-fishing,Husband,White,Male,2653.0,0.0,30.0,Vietnam
33.0,Private,110677.0,12th,10.0,Married-civ-spouse,Exec-managerial,Own-child,White,Female,1264.0,0.0,46.0,Vietnam
29.0,Private,63665.0,1st-4th,8.0,Married-spouse-absent,Handlers-cleaners,Husband,White,Male,1264.0,0.0,28.0,Vietnam
33.0,Private,51415.0,1st-4th,12.0,Married-civ-spouse,Craft-repair,Wife,White,Female,0.0,0.0,14.0,Yugoslavia
33.0,Private,88440.0,12th,10.0,Married-civ-spouse,Exec-managerial,Unmarried,White,Female,401.0,0.0,32.0,Vietnam
27.0,Private,44907.0,1st-4th,9.0,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,914.0,0.0,22.0,Vietnam
31.0,Private,123490.0,12th,7.0,Married-civ-spouse,Farming-fishing,Husband,White,Male,3942.0,0.0,33.0,Vietnam
26.0,Private,142886.0,12th,8.0,Married-spouse-absent,Handlers-cleaners,Own-child,White,Male,2407.0,0.0,56.0,Vietnam
29.0,Private,89942.0,1st-4th,8.0,Married-spouse-absent,Handlers-cleaners,Husband,White,Male,991.0,0.0,29.0,Vietnam
28.0,Federal-gov,13769.0,7th-8th,16.0,Married-AF-spouse,Exec-managerial,Unmarried,White,Female,0.0,0.0,1.0,Yugoslavia
30.0,Private,128141.0,11th,8.0,Married-civ-spouse,Farming-fishing,Other-relative,White,Male,14344.0,2824.0,49.0,Vietnam
30.0,Private,99516.0,12th,8.0,Married-civ-spouse,Farming-fishing,Husband,White,Male,3942.0,0.0,42.0,Vietnam
27.0,Private,80771.0,1st-4th,10.0,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,914.0,0.0,47.0,Trinadad&Tobago
30.0,Private,122742.0,11th,8.0,Married-civ-spouse,Farming-fishing,Not-in-family,White,Male,13550.0,2603.0,47.0,Vietnam
25.0,Self-emp-inc,200332.0,1st-4th,7.0,Married-civ-spouse,Farming-fishing,Husband,Black,Male,2105.0,0.0,44.0,Trinadad&Tobago
29.0,Private,125856.0,12th,8.0,Married-spouse-absent,Farming-fishing,Own-child,White,Male,2829.0,0.0,45.0,Vietnam
29.0,Private,106232.0,1st-4th,7.0,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,1731.0,0.0,28.0,Vietnam
31.0,Local-gov,33688.0,1st-4th,15.0,Married-AF-spouse,Exec-managerial,Unmarried,White,Female,0.0,0.0,3.0,Yugoslavia
28.0,Private,159724.0,12th,7.0,Married-civ-spouse,Farming-fishing,Husband,Other,Male,3325.0,0.0,34.0,Vietnam
30.0,Private,92969.0,12th,8.0,Married-civ-spouse,Farming-fishing,Husband,White,Male,3674.0,0.0,36.0,Vietnam
18.0,Self-emp-inc,421837.0,5th-6th,12.0,Married-civ-spouse,Craft-repair,Husband,Amer-Indian-Eskimo,Male,594.0,0.0,91.0,Cambodia
32.0,Private,73431.0,1st-4th,13.0,Married-civ-spouse,Craft-repair,Wife,White,Female,0.0,0.0,15.0,Vietnam
30.0,Local-gov,23813.0,5th-6th,15.0,Married-AF-spouse,Exec-managerial,Unmarried,White,Female,0.0,0.0,2.0,Yugoslavia
33.0,Private,83542.0,12th,11.0,Married-civ-spouse,Craft-repair,Wife,White,Female,114.0,0.0,31.0,Vietnam
30.0,Private,103323.0,12th,8.0,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,3942.0,0.0,36.0,Vietnam
33.0,Local-gov,72338.0,11th,14.0,Married-civ-spouse,Exec-managerial,Other-relative,White,Female,0.0,0.0,23.0,Vietnam
33.0,Private,71865.0,1st-4th,12.0,Married-civ-spouse,Craft-repair,Wife,White,Female,114.0,0.0,22.0,Vietnam
31.0,Private,94323.0,12th,7.0,Married-spouse-absent,Handlers-cleaners,Husband,White,Male,2538.0,0.0,29.0,Vietnam
30.0,Private,70720.0,1st-4th,8.0,Married-spouse-absent,Handlers-cleaners,Husband,White,Male,1055.0,0.0,26.0,Vietnam
30.0,Federal-gov,18827.0,5th-6th,16.0,Married-AF-spouse,Exec-managerial,Unmarried,White,Female,0.0,0.0,1.0,Yugoslavia
28.0,Private,55899.0,1st-4th,8.0,Married-spouse-absent,Machine-op-inspct,Husband,White,Male,594.0,0.0,20.0,Vietnam
28.0,Private,64667.0,1st-4th,9.0,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,594.0,0.0,31.0,Vietnam
29.0,Private,77404.0,1st-4th,9.0,Married-spouse-absent,Handlers-cleaners,Not-in-family,White,Male,1797.0,0.0,39.0,Vietnam
28.0,Local-gov,38001.0,5th-6th,14.0,Married-civ-spouse,Exec-managerial,Unmarried,Other,Female,0.0,0.0,4.0,Yugoslavia
29.0,Private,127601.0,12th,8.0,Married-civ-spouse,Farming-fishing,Husband,White,Male,2907.0,0.0,33.0,Vietnam
29.0,Private,139770.0,12th,8.0,Married-civ-spouse,Farming-fishing,Husband,White,Male,3137.0,0.0,40.0,Vietnam
27.0,Private,39529.0,1st-4th,8.0,Married-spouse-absent,Other-service,Husband,White,Male,401.0,0.0,17.0,Vietnam
27.0,Private,150980.0,11th,8.0,Married-spouse-absent,Farming-fishing,Unmarried,Other,Male,4064.0,0.0,54.0,Vietnam
32.0,Local-gov,22831.0,5th-6th,15.0,Married-AF-spouse,Exec-managerial,Wife,White,Female,0.0,0.0,1.0,Yugoslavia
34.0,Private,65663.0,12th,13.0,Married-civ-spouse,Craft-repair,Unmarried,White,Female,0.0,0.0,18.0,Yugoslavia
29.0,Private,103358.0,12th,8.0,Married-spouse-absent,Handlers-cleaners,Unmarried,White,Male,1731.0,0.0,39.0,Vietnam
28.0,Private,144514.0,12th,7.0,Married-civ-spouse,Farming-fishing,Husband,Other,Male,3103.0,0.0,33.0,Vietnam
28.0,Private,92943.0,1st-4th,9.0,Married-spouse-absent,Handlers-cleaners,Husband,White,Male,1173.0,0.0,34.0,Vietnam
30.0,Local-gov,19520.0,7th-8th,15.0,Married-AF-spouse,Exec-managerial,Wife,White,Female,0.0,0.0,1.0,Yugoslavia
27.0,Private,49707.0,1st-4th,10.0,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,1151.0,0.0,30.0,Vietnam
29.0,Private,74163.0,1st-4th,8.0,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,1731.0,0.0,27.0,Vietnam
21.0,Federal-gov,13769.0,7th-8th,16.0,Divorced,Craft-repair,Husband,White,Female,0.0,0.0,1.0,Vietnam
28.0,Private,175273.0,12th,8.0,Married-civ-spouse,Farming-fishing,Husband,Other,Male,3887.0,0.0,42.0,Vietnam
23.0,Private,127215.0,1st-4th,12.0,Married-civ-spouse,Farming-fishing,Husband,White,Male,401.0,0.0,64.0,Ireland
32.0,Private,115854.0,11th,9.0,Married-civ-spouse,Exec-managerial,Own-child,White,Female,4064.0,0.0,46.0,Vietnam
23.0,Private,140363.0,1st-4th,11.0,Married-civ-spouse,Farming-fishing,Not-in-family,White,Male,594.0,0.0,61.0,Italy
29.0,Private,79923.0,1st-4th,9.0,Married-spouse-absent,Handlers-cleaners,Husband,White,Male,2062.0,0.0,35.0,Vietnam
32.0,Local-gov,23336.0,1st-4th,15.0,Married-AF-spouse,Exec-managerial,Unmarried,White,Female,0.0,0.0,1.0,Yugoslavia
33.0,Private,61777.0,12th,13.0,Married-civ-spouse,Craft-repair,Unmarried,White,Female,0.0,0.0,19.0,Yugoslavia
30.0,Private,91836.0,12th,7.0,Married-spouse-absent,Handlers-cleaners,Husband,White,Male,1848.0,0.0,28.0,Vietnam
29.0,Private,64563.0,1st-4th,9.0,Married-spouse-absent,Handlers-cleaners,Husband,White,Male,1264.0,0.0,30.0,Vietnam
32.0,Private,134724.0,11th,11.0,Married-civ-spouse,Craft-repair,Other-relative,White,Female,914.0,0.0,53.0,United-States
31.0,Local-gov,40623.0,1st-4th,15.0,Married-AF-spouse,Exec-managerial,Own-child,White,Female,0.0,0.0,6.0,Yugoslavia
29.0,Private,59767.0,1st-4th,8.0,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,1173.0,0.0,25.0,Vietnam
29.0,Private,198813.0,11th,9.0,Married-civ-spouse,Farming-fishing,Own-child,White,Male,5721.0,0.0,49.0,United-States
34.0,Private,109307.0,11th,10.0,Married-civ-spouse,Exec-managerial,Unmarried,White,Female,1055.0,0.0,40.0,Vietnam
28.0,Private,78631.0,1st-4th,8.0,Married-spouse-absent,Handlers-cleaners,Own-child,White,Male,991.0,0.0,37.0,Vietnam
23.0,Self-emp-inc,267325.0,1st-4th,9.0,Married-civ-spouse,Farming-fishing,Husband,Asian-Pac-Islander,Male,2653.0,0.0,54.0,Nicaragua
28.0,Private,50818.0,1st-4th,9.0,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,991.0,0.0,27.0,Vietnam
31.0,Local-gov,25803.0,5th-6th,15.0,Married-AF-spouse,Craft-repair,Wife,White,Female,0.0,0.0,2.0,Yugoslavia
32.0,Private,120998.0,11th,8.0,Married-civ-spouse,Exec-managerial,Unmarried,Other,Female,5178.0,0.0,44.0,Vietnam
17.0,Private,566117.0,7th-8th,14.0,Married-AF-spouse,Craft-repair,Other-relative,Amer-Indian-Eskimo,Male,114.0,0.0,96.0,Cambodia
28.0,Private,48829.0,1st-4th,8.0,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,594.0,0.0,22.0,Vietnam
28.0,Private,82649.0,12th,9.0,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,3942.0,1380.0,45.0,Vietnam
29.0,Federal-gov,18827.0,5th-6th,16.0,Married-AF-spouse,Exec-managerial,Wife,White,Female,0.0,0.0,1.0,Yugoslavia
27.0,Private,43738.0,1st-4th,9.0,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,594.0,0.0,24.0,Vietnam
24.0,Local-gov,153291.0,12th,11.0,Married-spouse-absent,Handlers-cleaners,Other-relative,White,Male,594.0,0.0,59.0,Outlying-US(Guam-USVI-etc)
29.0,Private,128382.0,12th,7.0,Married-civ-spouse,Farming-fishing,Husband,White,Male,3273.0,0.0,31.0,Vietnam
29.0,Private,67716.0,1st-4th,9.0,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,1848.0,0.0,32.0,Vietnam
27.0,Private,105896.0,1st-4th,7.0,Married-civ-spouse,Farming-fishing,Husband,White,Male,1797.0,0.0,28.0,Vietnam
25.0,Private,71489.0,1st-4th,11.0,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,401.0,0.0,46.0,Puerto-Rico
31.0,Private,97197.0,12th,7.0,Married-civ-spouse,Farming-fishing,Husband,White,Male,2829.0,0.0,28.0,Vietnam
29.0,Private,109509.0,12th,7.0,Married-civ-spouse,Farming-fishing,Husband,White,Male,2463.0,0.0,28.0,Vietnam
30.0,Private,84324.0,12th,8.0,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,2009.0,0.0,30.0,Vietnam
22.0,Private,143129.0,1st-4th,11.0,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,401.0,0.0,50.0,Hong
20.0,Self-emp-inc,310889.0,1st-4th,11.0,Married-civ-spouse,Farming-fishing,Husband,Asian-Pac-Islander,Male,1731.0,0.0,72.0,Dominican-Republic
29.0,Private,58359.0,1st-4th,9.0,Married-spouse-absent,Handlers-cleaners,Husband,White,Male,1506.0,0.0,29.0,Vietnam
18.0,Private,374763.0,7th-8th,14.0,Married-AF-spouse,Exec-managerial,Husband,Asian-Pac-Islander,Male,0.0,0.0,97.0,Cambodia
30.0,Private,141962.0,12th,8.0,Married-civ-spouse,Farming-fishing,Husband,White,Male,5721.0,0.0,38.0,Vietnam
32.0,Private,67928.0,1st-4th,12.0,Married-civ-spouse,Craft-repair,Wife,White,Female,114.0,0.0,26.0,Vietnam
30.0,Private,69251.0,1st-4th,9.0,Married-spouse-absent,Handlers-cleaners,Not-in-family,White,Male,1086.0,0.0,33.0,Vietnam
21.0,Self-emp-inc,290763.0,1st-4th,10.0,Married-civ-spouse,Farming-fishing,Husband,Asian-Pac-Islander,Male,1409.0,0.0,73.0,Honduras
33.0,Local-gov,43716.0,5th-6th,14.0,Married-civ-spouse,Craft-repair,Wife,White,Female,0.0,0.0,9.0,Yugoslavia
28.0,Private,55048.0,1st-4th,10.0,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,1264.0,0.0,32.0,Vietnam
35.0,Private,81929.0,12th,11.0,Married-civ-spouse,Craft-repair,Unmarried,White,Female,114.0,0.0,32.0,Vietnam
30.0,Private,92531.0,12th,8.0,Married-spouse-absent,Handlers-cleaners,Husband,White,Male,2977.0,0.0,34.0,Vietnam
28.0,Private,134746.0,12th,7.0,Married-civ-spouse,Farming-fishing,Husband,Other,Male,3674.0,0.0,28.0,Vietnam
23.0,Private,211351.0,12th,9.0,Married-spouse-absent,Farming-fishing,Own-child,Black,Male,2290.0,0.0,68.0,Vietnam
27.0,Private,46015.0,1st-4th,9.0,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,914.0,0.0,25.0,Vietnam
29.0,Private,86600.0,12th,9.0,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,3887.0,625.0,44.0,Vietnam
24.0,Self-emp-inc,172296.0,1st-4th,9.0,Married-civ-spouse,Farming-fishing,Husband,Other,Male,991.0,0.0,49.0,Scotland
30.0,Private,95998.0,12th,8.0,Married-spouse-absent,Handlers-cleaners,Other-relative,White,Male,2202.0,0.0,38.0,Vietnam
34.0,Private,68073.0,12th,13.0,Married-civ-spouse,Craft-repair,Unmarried,White,Female,0.0,0.0,24.0,Vietnam
29.0,Private,76044.0,1st-4th,8.0,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,1055.0,0.0,24.0,Vietnam
31.0,Private,88991.0,12th,7.0,Married-spouse-absent,Handlers-cleaners,Husband,White,Male,2354.0,0.0,31.0,Vietnam
30.0,Private,67794.0,1st-4th,7.0,Married-spouse-absent,Handlers-cleaners,Husband,White,Male,1055.0,0.0,22.0,Vietnam
28.0,Private,88231.0,1st-4th,9.0,Married-spouse-absent,Handlers-cleaners,Husband,White,Male,1848.0,0.0,37.0,Vietnam
31.0,Private,131762.0,11th,9.0,Married-civ-spouse,Farming-fishing,Not-in-family,White,Male,8614.0,1755.0,50.0,Vietnam
34.0,Private,58126.0,1st-4th,12.0,Married-civ-spouse,Craft-repair,Unmarried,White,Female,0.0,0.0,16.0,Yugoslavia
23.0,Self-emp-inc,205296.0,12th,9.0,Married-civ-spouse,Farming-fishing,Husband,Black,Male,2829.0,0.0,60.0,Thailand
29.0,Private,67482.0,1st-4th,9.0,Married-spouse-absent,Handlers-cleaners,Husband,White,Male,1264.0,0.0,28.0,Vietnam
26.0,Private,202920.0,12th,8.0,Married-civ-spouse,Farming-fishing,Husband,Other,Male,4101.0,0.0,48.0,Vietnam
33.0,Local-gov,38312.0,1st-4th,14.0,Married-civ-spouse,Craft-repair,Wife,White,Female,0.0,0.0,6.0,Yugoslavia
29.0,Private,60639.0,1st-4th,8.0,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,1055.0,0.0,24.0,Vietnam
29.0,Private,58037.0,1st-4th,8.0,Married-spouse-absent,Machine-op-inspct,Husband,White,Male,914.0,0.0,24.0,Vietnam
30.0,Local-gov,49593.0,1st-4th,15.0,Married-AF-spouse,Exec-managerial,Other-relative,White,Female,0.0,0.0,5.0,Vietnam
31.0,Private,128401.0,12th,7.0,Married-civ-spouse,Farming-fishing,Husband,White,Male,4101.0,0.0,37.0,Vietnam
20.0,Self-emp-inc,380162.0,1st-4th,11.0,Married-civ-spouse,Exec-managerial,Husband,Amer-Indian-Eskimo,Male,2228.0,0.0,80.0,Cuba
33.0,Private,76280.0,12th,11.0,Married-civ-spouse,Craft-repair,Own-child,White,Female,114.0,0.0,40.0,Vietnam
29.0,Private,157216.0,12th,8.0,Married-civ-spouse,Farming-fishing,Husband,White,Male,4064.0,0.0,41.0,Vietnam
25.0,Private,169240.0,12th,9.0,Married-civ-spouse,Farming-fishing,Not-in-family,Other,Male,3411.0,0.0,54.0,United-States
29.0,Private,59987.0,1st-4th,7.0,Married-spouse-absent,Handlers-cleaners,Husband,White,Male,991.0,0.0,22.0,Vietnam
28.0,Private,76128.0,12th,10.0,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,2885.0,0.0,42.0,Vietnam
24.0,Self-emp-inc,268482.0,12th,8.0,Married-civ-spouse,Farming-fishing,Husband,Asian-Pac-Islander,Male,4508.0,0.0,56.0,Taiwan
33.0,Private,57889.0,1st-4th,13.0,Married-civ-spouse,Craft-repair,Unmarried,White,Female,0.0,0.0,20.0,Yugoslavia
32.0,Local-gov,34098.0,1st-4th,15.0,Married-AF-spouse,Exec-managerial,Unmarried,White,Female,0.0,0.0,3.0,Yugoslavia
28.0,Private,142332.0,12th,8.0,Married-spouse-absent,Farming-fishing,Not-in-family,White,Male,3674.0,0.0,43.0,Vietnam
33.0,Private,119033.0,11th,8.0,Married-civ-spouse,Exec-managerial,Own-child,Other,Female,3325.0,0.0,46.0,Vietnam
30.0,Local-gov,25497.0,1st-4th,15.0,Married-AF-spouse,Exec-managerial,Unmarried,White,Female,0.0,0.0,2.0,Yugoslavia
29.0,Private,61603.0,1st-4th,8.0,Married-spouse-absent,Handlers-cleaners,Husband,White,Male,914.0,0.0,26.0,Vietnam
30.0,Private,139907.0,11th,10.0,Married-civ-spouse,Farming-fishing,Not-in-family,White,Male,2387.0,0.0,57.0,Taiwan
28.0,Private,154950.0,12th,8.0,Married-spouse-absent,Farming-fishing,Not-in-family,White,Male,3887.0,0.0,44.0,Vietnam
31.0,Federal-gov,21626.0,1st-4th,15.0,Married-AF-spouse,Exec-managerial,Unmarried,White,Female,0.0,0.0,1.0,Yugoslavia
27.0,Private,153869.0,12th,8.0,Married-spouse-absent,Farming-fishing,Own-child,White,Male,3674.0,0.0,49.0,Vietnam
29.0,Private,83542.0,1st-4th,8.0,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,1409.0,0.0,28.0,Vietnam
24.0,Self-emp-inc,190941.0,1st-4th,9.0,Married-civ-spouse,Farming-fishing,Husband,Other,Male,1264.0,0.0,48.0,Peru
29.0,Private,55965.0,1st-4th,8.0,Married-spouse-absent,Machine-op-inspct,Husband,White,Male,914.0,0.0,22.0,Vietnam
26.0,Private,39324.0,1st-4th,9.0,Married-spouse-absent,Machine-op-inspct,Husband,White,Male,594.0,0.0,22.0,Vietnam
29.0,Local-gov,21698.0,7th-8th,15.0,Married-AF-spouse,Exec-managerial,Wife,White,Female,0.0,0.0,1.0,Yugoslavia
28.0,Private,51255.0,1st-4th,9.0,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,1173.0,0.0,28.0,Vietnam
25.0,Self-emp-inc,162551.0,1st-4th,7.0,Married-civ-spouse,Exec-managerial,Husband,Other,Male,2009.0,0.0,35.0,Vietnam
29.0,Private,97083.0,12th,8.0,Married-spouse-absent,Handlers-cleaners,Own-child,White,Male,2387.0,0.0,41.0,Vietnam
29.0,Private,114495.0,12th,8.0,Married-spouse-absent,Handlers-cleaners,Husband,White,Male,2354.0,0.0,34.0,Vietnam
29.0,Private,149455.0,12th,10.0,Married-civ-spouse,Farming-fishing,Other-relative,White,Male,2009.0,0.0,55.0,Scotland
18.0,Self-emp-inc,408585.0,7th-8th,13.0,Married-AF-spouse,Armed-Forces,Husband,Amer-Indian-Eskimo,Male,114.0,0.0,95.0,Cambodia
23.0,Federal-gov,13769.0,7th-8th,16.0,Divorced,Craft-repair,Husband,White,Female,0.0,0.0,1.0,Thailand
