elevation,aspect,slope,hori_distance_hyd,vert_distance,hori_distance_road,hillshade_9am,hillshade_noon,hillshade_3pm,hori_distance_fire,wild_area,soil_type,cover_type
2876,304,11,242,29,6082,182,227,177,1045,2,31,2
3182,173,36,356,78,2762,132,243,227,479,2,12,1
2948,311,10,276,18,1065,209,230,172,6104,2,31,2
3012,65,17,23,2,2836,240,209,104,554,0,29,1
3383,38,8,650,123,1223,214,222,142,2167,0,30,1
3389,21,8,605,134,1064,195,206,135,2141,0,28,7
2651,176,22,190,70,2000,231,184,71,1640,0,3,2
3078,94,3,147,12,967,229,221,142,1644,0,22,1
3296,264,7,578,41,1927,218,244,155,484,2,1,3
3000,326,9,397,-1,1045,212,236,160,1905,2,11,2
3242,242,10,132,32,3219,217,247,182,531,2,22,1
2987,47,8,641,246,1353,215,185,143,2196,2,32,1
2673,158,3,53,4,377,220,234,129,4244,1,17,2
2970,315,10,275,14,1044,209,231,169,6092,2,11,2
3014,331,3,410,-8,775,210,237,158,1986,1,25,2
2228,170,22,167,72,1135,230,186,67,1634,0,1,3
3068,83,9,110,4,4486,228,216,115,1437,0,22,1
3006,322,9,651,4,995,211,234,165,1858,2,11,2
2954,76,4,872,141,721,219,221,105,1649,0,11,2
3234,97,9,108,47,4601,229,248,148,1483,0,22,1
3319,214,8,392,27,2757,219,244,224,401,2,4,1
2685,171,4,73,0,336,219,232,130,2866,1,17,2
3002,321,10,661,109,951,210,234,166,1835,2,11,2
2906,306,11,273,76,5978,204,227,178,1733,2,31,2
3029,66,12,24,2,2709,241,210,103,521,0,29,1
2685,161,22,235,71,1700,230,200,48,1628,2,3,2
2947,310,10,979,146,843,200,218,170,1633,2,31,2
3399,25,8,423,95,1446,220,225,153,2046,2,30,1
2675,95,21,221,70,872,233,204,51,1656,0,3,2
3010,329,4,1012,86,795,208,236,164,1846,2,11,2
2727,49,8,610,245,1704,215,188,146,2234,2,1,3
3059,122,12,42,2,2728,241,243,113,470,2,12,1
2772,47,8,656,224,1526,219,188,149,2115,2,1,3
3239,223,11,19,31,3004,219,247,180,482,2,13,1
2964,50,7,621,16,1296,212,207,140,2309,2,32,2
3221,94,9,111,46,4596,229,248,148,1461,0,22,1
2989,67,18,57,3,2899,241,208,102,625,0,29,6
2224,173,23,179,71,1123,230,184,66,1629,0,1,3
3302,219,7,381,25,2876,219,245,221,387,2,4,1
2993,91,14,413,90,511,238,236,99,1893,2,30,2
3065,71,10,147,16,4514,230,216,112,1475,0,28,1
2928,304,11,267,150,5846,180,230,175,1686,2,31,2
2644,84,20,179,72,978,231,219,108,1572,0,11,2
3271,260,11,162,38,2032,216,246,154,529,2,22,3
3082,91,9,108,40,4556,229,247,119,1430,0,22,1
2938,47,16,240,13,1518,212,196,102,2612,2,32,2
3006,125,18,51,3,2629,244,208,101,546,3,29,1
2656,85,20,186,140,945,231,204,107,1598,0,11,2
2966,85,15,393,121,507,235,205,97,1813,2,30,2
2960,161,14,59,-6,514,246,238,94,2020,1,7,2
2969,315,10,274,14,1048,210,232,168,6085,2,11,2
2713,45,15,86,-1,314,218,216,99,2836,1,16,2
2748,261,7,627,37,1798,220,243,155,443,2,1,3
3060,184,35,49,36,2775,145,244,219,494,2,12,1
3026,122,18,50,4,2607,245,209,102,514,3,29,1
2975,40,7,622,16,1137,212,207,136,2392,0,28,2
3027,66,12,10,1,2827,238,211,104,525,0,29,1
3274,269,6,186,42,2046,214,246,155,526,2,1,3
2805,115,33,70,15,5973,176,209,115,797,3,29,2
2255,153,23,216,80,984,234,190,38,1601,0,3,2
2721,50,5,80,5,1236,214,211,133,2693,1,32,2
3393,37,8,644,129,1183,214,206,143,2143,0,30,1
2978,315,10,265,9,1107,211,232,168,6084,2,11,2
3261,37,5,74,12,323,214,227,133,3870,0,28,2
3067,199,18,47,37,2778,240,244,208,457,2,12,1
2701,153,14,50,-4,504,245,238,96,4453,1,7,2
3013,67,17,23,2,2795,240,209,104,547,0,29,1
3272,38,5,76,12,1238,214,226,134,3868,0,28,2
2637,175,21,145,64,1188,228,185,83,1581,0,22,3
2888,300,11,258,83,5950,181,228,175,1729,2,31,2
2950,166,14,84,-8,523,244,236,97,1963,1,16,2
3062,79,10,-5,1,4421,231,215,113,1385,0,22,1
3057,74,10,0,3,4504,229,215,114,1430,0,22,1
2670,46,23,225,71,1853,228,194,61,2435,2,3,2
2645,165,22,205,72,1047,230,182,60,1589,0,3,2
2866,299,11,227,23,6000,171,212,179,1530,0,31,2
2222,161,22,176,74,1144,231,186,58,1554,0,1,2
2706,81,21,929,149,761,238,205,99,1650,0,11,2
3239,202,17,331,28,2870,198,246,218,468,2,9,1
2951,74,10,916,145,776,220,220,165,1638,2,11,2
3379,25,8,422,89,1498,220,226,155,2026,2,4,1
2859,61,11,65,14,5935,233,212,119,1520,0,28,2
2667,76,22,238,158,990,236,218,100,1527,0,11,2
3365,42,8,652,126,1197,214,222,142,2183,2,36,1
3074,74,10,163,21,4470,229,217,111,1479,0,21,1
3015,66,12,14,2,2857,238,210,105,546,0,29,1
2821,296,12,227,23,6055,176,210,177,891,2,31,2
2686,148,14,31,1,447,243,237,127,4389,1,7,2
2839,297,12,77,17,5988,171,210,122,741,0,31,2
2724,270,7,611,44,1909,218,244,155,482,2,1,3
2694,84,15,200,132,786,234,206,104,1689,0,11,2
2680,171,22,212,68,1783,230,197,66,2481,0,3,2
3019,331,3,420,-7,823,210,237,160,1959,2,11,2
3342,201,8,397,76,2744,219,228,223,410,2,12,1
2945,85,15,245,131,668,234,204,101,1696,0,8,2
3019,60,11,12,5,4351,233,211,111,622,0,28,1
2993,64,18,39,3,4236,239,209,105,643,0,29,6
2996,96,14,402,78,404,238,235,99,1922,2,27,2
2718,51,8,609,258,1578,213,186,143,2292,2,32,2
3041,67,11,13,3,2747,239,211,105,523,0,28,1
2905,306,11,263,83,5942,183,227,175,1815,2,31,2
3071,90,10,144,57,1095,229,219,111,1507,0,22,1
3064,206,12,35,1,2773,240,244,116,453,2,12,1
3017,66,12,10,1,4126,237,210,104,541,0,29,1
3073,198,18,44,35,2802,201,245,210,452,2,12,1
2645,82,21,177,73,1043,231,219,109,1535,0,11,2
2943,48,16,84,9,1335,213,194,101,2687,2,32,2
2812,116,33,79,10,5895,175,209,115,731,0,29,2
2712,164,14,58,-4,445,243,236,96,4440,1,7,2
3209,185,34,339,76,2844,138,245,223,495,2,12,1
3022,124,18,43,3,2640,243,209,102,516,0,29,1
2948,310,10,279,12,1062,206,231,176,1722,2,31,2
2673,156,22,212,73,862,231,203,46,1621,0,3,2
2963,51,7,424,13,1290,213,207,139,2360,2,32,2
2815,61,18,66,5,4391,238,209,111,715,0,29,3
2838,298,12,84,15,5995,173,210,121,749,0,31,2
2965,165,14,75,-8,563,245,237,96,1991,1,7,2
3053,119,13,47,3,2706,242,243,114,461,3,12,1
2912,65,10,886,149,965,218,216,114,1566,0,31,2
3047,69,11,28,1,2770,241,212,105,508,3,29,1
2960,72,4,641,11,946,201,233,174,1679,2,31,2
2665,154,22,233,78,939,235,205,40,1603,0,3,2
2678,179,23,197,63,2055,231,171,149,2343,0,9,3
3003,323,9,415,-1,1049,212,235,162,1883,2,11,2
3031,64,11,4,3,4408,232,213,109,599,0,28,1
3263,37,5,72,11,1248,215,228,133,3928,0,28,2
2721,48,7,596,61,1915,216,161,150,2238,0,1,3
3021,329,3,395,-7,635,246,237,157,2017,2,27,2
2689,51,24,243,71,1642,211,188,142,2303,2,32,2
3001,62,17,41,3,4303,237,209,108,634,0,29,1
2782,46,8,644,231,1481,218,187,147,2160,2,36,3
3258,225,11,314,31,3026,217,246,184,465,2,21,1
3050,63,12,40,3,2691,242,211,108,479,3,29,1
3016,330,3,425,-5,736,209,237,160,1947,2,22,2
2965,76,10,987,149,706,224,220,160,1641,2,11,2
2926,309,11,276,78,5921,207,228,174,6084,2,31,2
2916,304,11,262,143,5952,202,229,177,1653,2,31,2
2697,47,5,80,3,321,216,213,133,2760,1,32,2
2689,48,22,232,18,1664,211,194,62,2495,2,32,2
3016,85,3,421,88,655,223,236,164,1865,2,27,2
2686,179,24,219,66,1965,231,167,146,2382,0,1,2
3354,222,8,415,81,1559,219,243,157,393,2,4,1
3045,71,10,4,3,4443,231,215,113,1437,0,28,1
3380,12,14,565,239,995,198,205,131,2134,0,37,7
3392,36,8,649,127,1182,214,222,142,2150,0,30,1
3381,39,8,653,175,1462,221,225,151,2083,2,4,3
2925,64,10,903,153,966,219,217,170,1552,0,31,2
2716,160,14,60,-7,694,246,238,96,1987,1,7,2
3017,66,18,45,3,2678,243,209,102,529,0,29,1
2939,44,16,236,13,1448,212,197,101,2641,2,32,2
3380,38,8,653,116,1247,214,222,143,2167,2,30,1
2999,335,14,407,-7,562,244,236,157,1970,2,27,2
3274,194,34,364,75,2848,135,245,224,483,2,12,1
3093,86,9,-8,2,4431,232,247,120,590,2,22,1
2676,170,15,74,2,327,219,231,130,2830,1,17,2
2931,52,6,91,18,1417,211,188,137,2463,2,32,2
3386,18,8,595,136,1029,196,205,133,2136,0,28,7
2221,166,22,168,70,1160,230,185,64,1598,0,1,2
2831,297,12,231,17,6024,174,210,210,772,0,31,2
2680,179,23,211,66,2018,230,170,146,2394,0,3,2
3250,203,17,347,26,2904,198,246,221,437,2,9,1
3068,78,10,126,12,4530,228,217,111,1467,0,22,1
3310,212,8,393,26,2802,218,244,224,412,2,4,1
3366,44,8,657,119,1364,217,222,146,2134,2,36,1
3046,122,12,47,3,2677,243,211,108,486,3,29,1
2982,161,13,351,-8,826,248,239,153,2003,1,7,2
2988,321,10,263,6,1076,211,233,165,6122,2,11,2
3370,8,8,377,95,2485,219,225,150,2128,0,30,1
2863,298,12,251,27,6048,176,227,180,1648,2,31,2
3392,20,8,413,92,1462,219,226,154,2039,2,30,1
3062,187,34,50,35,2799,145,244,217,492,2,12,1
3074,66,10,179,18,5770,231,216,114,1483,0,19,1
2217,162,21,155,70,1128,230,186,61,1593,0,1,2
2948,100,16,236,10,1466,212,197,100,2677,2,32,2
2849,298,12,257,82,6036,178,226,179,914,2,31,2
3275,250,10,295,32,3177,216,247,185,520,2,22,1
3327,37,7,423,16,1165,213,207,137,3531,0,28,2
2820,297,12,224,17,6001,175,209,119,781,0,31,2
2718,51,7,608,19,1398,211,186,141,2321,2,32,2
3405,34,8,646,116,1289,217,222,147,2100,2,30,1
3259,254,10,134,34,2101,216,247,154,528,2,22,1
2693,86,21,240,147,802,236,205,97,1656,0,8,2
