----------pretrain Epoch 0:----------
VAE iteration 0 	 ELBO Loss 30481729642947980648513536.0000 	 MSE Reconstruct Loss 57.6174	 BCE Reconstruct Loss 9.6937	 KL Loss 9047779693626423431313489920.0000----------pretrain Epoch 1:----------
VAE iteration 0 	 ELBO Loss 31529797548396853319434240.0000 	 MSE Reconstruct Loss 45.9796	 BCE Reconstruct Loss 6.3620	 KL Loss 3539042382846083461810225152.0000----------pretrain Epoch 83:----------
VAE iteration 0 	 ELBO Loss 31885058780826407146618880.0000 	 MSE Reconstruct Loss 45.9796	 BCE Reconstruct Loss 6.3620	 KL Loss 3539019656457384651642634240.0000----------pretrain Epoch 84:----------
VAE iteration 0 	 ELBO Loss 32244246863900651894603776.0000 	 MSE Reconstruct Loss 45.9796	 BCE Reconstruct Loss 6.3620	 KL Loss 3539043563437704179221528576.0000----------pretrain Epoch 85:----------
VAE iteration 0 	 ELBO Loss 32606510941549187710320640.0000 	 MSE Reconstruct Loss 45.9796	 BCE Reconstruct Loss 6.3620	 KL Loss 3539017590422048396172853248.0000----------pretrain Epoch 86:----------
VAE iteration 0 	 ELBO Loss 32972577354319916907364352.0000 	 MSE Reconstruct Loss 45.9796	 BCE Reconstruct Loss 6.3620	 KL Loss 3539018475865763934231330816.0000----------pretrain Epoch 87:----------
VAE iteration 0 	 ELBO Loss 33342441490526821058347008.0000 	 MSE Reconstruct Loss 45.9796	 BCE Reconstruct Loss 6.3620	 KL Loss 3539041202254462744398921728.0000----------pretrain Epoch 88:----------
VAE iteration 0 	 ELBO Loss 33715466937499357183737856.0000 	 MSE Reconstruct Loss 45.9796	 BCE Reconstruct Loss 6.3620	 KL Loss 3539015524386712140703072256.0000----------pretrain Epoch 89:----------
VAE iteration 0 	 ELBO Loss 34043692160645880449335296.0000 	 MSE Reconstruct Loss 45.9796	 BCE Reconstruct Loss 6.3620	 KL Loss 3533961706806326082265939968.0000----------pretrain Epoch 90:----------
VAE iteration 0 	 ELBO Loss 34423964872196375214817280.0000 	 MSE Reconstruct Loss 45.9796	 BCE Reconstruct Loss 6.3620	 KL Loss 3533985023490835251139182592.0000----------pretrain Epoch 91:----------
VAE iteration 0 	 ELBO Loss 34807209815385746431803392.0000 	 MSE Reconstruct Loss 45.9796	 BCE Reconstruct Loss 6.3620	 KL Loss 3533934258051144402453135360.0000----------pretrain Epoch 92:----------
VAE iteration 0 	 ELBO Loss 35235029009786227566575616.0000 	 MSE Reconstruct Loss 45.9796	 BCE Reconstruct Loss 6.3620	 KL Loss 3537985753345541378693660672.0000----------pretrain Epoch 93:----------
VAE iteration 0 	 ELBO Loss 35626413578798123123212288.0000 	 MSE Reconstruct Loss 45.9795	 BCE Reconstruct Loss 6.3620	 KL Loss 3537957419146644160822378496.0000----------pretrain Epoch 94:----------
VAE iteration 0 	 ELBO Loss 36022093933336183791681536.0000 	 MSE Reconstruct Loss 45.9795	 BCE Reconstruct Loss 6.3620	 KL Loss 3537978669795817074225840128.0000----------pretrain Epoch 95:----------
VAE iteration 0 	 ELBO Loss 36421129289452650384850944.0000 	 MSE Reconstruct Loss 45.9795	 BCE Reconstruct Loss 6.3620	 KL Loss 3537954762815497546646945792.0000----------pretrain Epoch 96:----------
VAE iteration 0 	 ELBO Loss 36793797330758758387679232.0000 	 MSE Reconstruct Loss 45.9795	 BCE Reconstruct Loss 6.3620	 KL Loss 3535027781039833904672931840.0000----------pretrain Epoch 97:----------
VAE iteration 0 	 ELBO Loss 37200444274648639384584192.0000 	 MSE Reconstruct Loss 45.9795	 BCE Reconstruct Loss 6.3620	 KL Loss 3535025124708687290497499136.0000----------pretrain Epoch 98:----------
VAE iteration 0 	 ELBO Loss 37610732144650068804239360.0000 	 MSE Reconstruct Loss 45.9795	 BCE Reconstruct Loss 6.3620	 KL Loss 3534997675953505610684694528.0000----------pretrain Epoch 99:----------
VAE iteration 0 	 ELBO Loss 38008614579261928550432768.0000 	 MSE Reconstruct Loss 45.9795	 BCE Reconstruct Loss 6.3620	 KL Loss 3533451100930365801877209088.0000----------pretrain Epoch 100:----------
VAE iteration 0 	 ELBO Loss 38426057480120948062420992.0000 	 MSE Reconstruct Loss 45.9795	 BCE Reconstruct Loss 6.3620	 KL Loss 3533372296439682914672705536.0000----------pretrain Epoch 101:----------
VAE iteration 0 	 ELBO Loss 38848593988187320624349184.0000 	 MSE Reconstruct Loss 45.9795	 BCE Reconstruct Loss 6.3620	 KL Loss 3533394727680476545487470592.0000----------pretrain Epoch 102:----------
VAE iteration 0 	 ELBO Loss 39274907467102785216970752.0000 	 MSE Reconstruct Loss 45.9795	 BCE Reconstruct Loss 6.3620	 KL Loss 3533394432532571366134644736.0000----------pretrain Epoch 103:----------
VAE iteration 0 	 ELBO Loss 39704970246751231275958272.0000 	 MSE Reconstruct Loss 45.9795	 BCE Reconstruct Loss 6.3620	 KL Loss 3533366688629484506969014272.0000----------pretrain Epoch 104:----------
VAE iteration 0 	 ELBO Loss 40139723111080417988444160.0000 	 MSE Reconstruct Loss 45.9795	 BCE Reconstruct Loss 6.3620	 KL Loss 3533392071349329931312037888.0000----------pretrain Epoch 105:----------
VAE iteration 0 	 ELBO Loss 40577990080155646370512896.0000 	 MSE Reconstruct Loss 45.9794	 BCE Reconstruct Loss 6.3620	 KL Loss 3533364622594148251499233280.0000----------pretrain Epoch 106:----------
VAE iteration 0 	 ELBO Loss 41020997862457818107346944.0000 	 MSE Reconstruct Loss 45.9795	 BCE Reconstruct Loss 6.3620	 KL Loss 3533388234426562599725301760.0000----------pretrain Epoch 107:----------
VAE iteration 0 	 ELBO Loss 41467630429970473771073536.0000 	 MSE Reconstruct Loss 45.9795	 BCE Reconstruct Loss 6.3620	 KL Loss 3533363737150432713440755712.0000----------pretrain Epoch 108:----------
VAE iteration 0 	 ELBO Loss 41941186020458708525383680.0000 	 MSE Reconstruct Loss 45.9795	 BCE Reconstruct Loss 6.3620	 KL Loss 3535254159483106468290363392.0000----------pretrain Epoch 109:----------
VAE iteration 0 	 ELBO Loss 42397074241810347956633600.0000 	 MSE Reconstruct Loss 45.9795	 BCE Reconstruct Loss 6.3620	 KL Loss 3535276885871805278457954304.0000----------pretrain Epoch 110:----------
VAE iteration 0 	 ELBO Loss 42856661035348766152982528.0000 	 MSE Reconstruct Loss 45.9795	 BCE Reconstruct Loss 6.3620	 KL Loss 3535250617708244316056453120.0000----------pretrain Epoch 111:----------
VAE iteration 0 	 ELBO Loss 43321173109554864799612928.0000 	 MSE Reconstruct Loss 45.9795	 BCE Reconstruct Loss 6.3620	 KL Loss 3535275705280184561046650880.0000----------pretrain Epoch 112:----------
VAE iteration 0 	 ELBO Loss 43790029391990322045648896.0000 	 MSE Reconstruct Loss 45.9795	 BCE Reconstruct Loss 6.3620	 KL Loss 3535299907408409267978371072.0000----------pretrain Epoch 113:----------
VAE iteration 0 	 ELBO Loss 44262930123063940110876672.0000 	 MSE Reconstruct Loss 45.9795	 BCE Reconstruct Loss 6.3620	 KL Loss 3535296660781452295097286656.0000----------pretrain Epoch 114:----------
VAE iteration 0 	 ELBO Loss 44739939866379976978726912.0000 	 MSE Reconstruct Loss 45.9795	 BCE Reconstruct Loss 6.3620	 KL Loss 3535270392617891332695785472.0000----------pretrain Epoch 115:----------
VAE iteration 0 	 ELBO Loss 45248087713692435569704960.0000 	 MSE Reconstruct Loss 45.9795	 BCE Reconstruct Loss 6.3619	 KL Loss 3537331410439758753478737920.0000----------pretrain Epoch 116:----------
VAE iteration 0 	 ELBO Loss 45734579083462359147085824.0000 	 MSE Reconstruct Loss 45.9795	 BCE Reconstruct Loss 6.3619	 KL Loss 3537327868664896601244827648.0000----------pretrain Epoch 117:----------
VAE iteration 0 	 ELBO Loss 46225612963960433701552128.0000 	 MSE Reconstruct Loss 45.9795	 BCE Reconstruct Loss 6.3619	 KL Loss 3537326688073275883833524224.0000----------pretrain Epoch 118:----------
VAE iteration 0 	 ELBO Loss 46721530619952022859808768.0000 	 MSE Reconstruct Loss 45.9795	 BCE Reconstruct Loss 6.3619	 KL Loss 3537351480497310949470896128.0000----------pretrain Epoch 119:----------
VAE iteration 0 	 ELBO Loss 47221368209059275297783808.0000 	 MSE Reconstruct Loss 45.9796	 BCE Reconstruct Loss 6.3619	 KL Loss 3537326688073275883833524224.0000----------pretrain Epoch 120:----------
VAE iteration 0 	 ELBO Loss 47726112632090134476488704.0000 	 MSE Reconstruct Loss 45.9796	 BCE Reconstruct Loss 6.3619	 KL Loss 3537324031742129269658091520.0000----------pretrain Epoch 121:----------
VAE iteration 0 	 ELBO Loss 48236206610902369425162240.0000 	 MSE Reconstruct Loss 45.9796	 BCE Reconstruct Loss 6.3619	 KL Loss 3537373911738104580285661184.0000----------pretrain Epoch 122:----------
VAE iteration 0 	 ELBO Loss 48749602556903798383575040.0000 	 MSE Reconstruct Loss 45.9796	 BCE Reconstruct Loss 6.3619	 KL Loss 3537322851150508552246788096.0000----------pretrain Epoch 123:----------
VAE iteration 0 	 ELBO Loss 49268389563860768958447616.0000 	 MSE Reconstruct Loss 45.9795	 BCE Reconstruct Loss 6.3619	 KL Loss 3537321965706793014188310528.0000----------pretrain Epoch 124:----------
VAE iteration 0 	 ELBO Loss 49791926607416719742861312.0000 	 MSE Reconstruct Loss 45.9795	 BCE Reconstruct Loss 6.3619	 KL Loss 3537321375410982655482658816.0000----------pretrain Epoch 125:----------
VAE iteration 0 	 ELBO Loss 50319886257864342392274944.0000 	 MSE Reconstruct Loss 45.9795	 BCE Reconstruct Loss 6.3619	 KL Loss 3537295697543232051786809344.0000----------pretrain Epoch 126:----------
VAE iteration 0 	 ELBO Loss 50853366096476022625009664.0000 	 MSE Reconstruct Loss 45.9795	 BCE Reconstruct Loss 6.3619	 KL Loss 3537320489967267117424181248.0000----------pretrain Epoch 127:----------
VAE iteration 0 	 ELBO Loss 51391711263837143751983104.0000 	 MSE Reconstruct Loss 45.9795	 BCE Reconstruct Loss 6.3619	 KL Loss 3537345577539207362414379008.0000----------pretrain Epoch 128:----------
VAE iteration 0 	 ELBO Loss 51934562048438268436938752.0000 	 MSE Reconstruct Loss 45.9796	 BCE Reconstruct Loss 6.3619	 KL Loss 3537344987243397003708727296.0000----------pretrain Epoch 129:----------
