elevation,aspect,slope,hori_distance_hyd,vert_distance,hori_distance_road,hillshade_9am,hillshade_noon,hillshade_3pm,hori_distance_fire,wild_area,soil_type,cover_type
3471,265,17,840,-4,4262,187,238,166,919,1,31,1
3199,121,10,484,-295,1428,202,226,106,2193,2,31,7
2634,165,21,578,21,1731,253,222,98,6101,0,28,2
2518,10,13,875,58,1255,171,224,213,695,2,1,2
3626,76,-2,486,78,3260,231,247,135,1964,0,18,7
2654,89,22,521,10,4950,241,237,137,2491,0,28,2
3629,94,3,484,28,3287,231,251,129,1381,0,18,7
3061,87,19,551,-19,5091,254,238,140,2499,0,28,2
2095,74,23,413,-90,-350,178,217,93,715,3,11,6
3020,149,13,23,22,1154,230,230,133,2036,2,11,1
2993,210,22,127,40,1737,232,220,114,638,2,11,2
2519,50,12,108,38,1337,211,246,179,1968,3,9,6
2486,-17,48,-58,11,-332,234,201,130,986,3,17,2
2979,223,12,-11,-4,814,186,215,163,1286,2,3,2
2565,78,5,421,40,1762,234,171,131,2440,3,9,6
2542,271,14,82,-7,5287,219,242,188,1854,0,21,1
2647,156,33,160,151,3097,254,240,93,421,2,10,5
3376,81,15,134,79,534,186,244,145,1292,2,22,1
3348,254,16,890,83,532,181,243,142,2096,2,22,1
3259,17,5,428,-7,1893,238,217,157,3654,2,37,7
2258,181,35,93,141,616,257,200,58,-245,0,0,5
3127,142,2,55,91,1098,212,221,140,2113,0,29,7
3327,79,12,114,114,479,180,244,172,2192,2,22,1
2836,76,9,24,12,6808,208,235,157,1456,2,37,7
2447,250,13,261,28,1016,170,225,222,919,2,21,2
2433,267,17,330,34,869,157,238,209,1213,2,31,2
3319,74,12,657,87,617,186,246,161,1835,2,22,1
3010,51,21,95,29,3201,193,222,148,2702,2,12,1
2873,6,25,69,38,873,212,225,134,823,2,30,2
3628,63,10,484,28,3192,232,251,141,1083,0,18,7
2686,16,22,151,102,1305,223,182,111,356,2,21,2
2332,312,8,-59,-20,1117,229,221,156,901,3,2,3
3580,272,13,44,121,5457,262,235,74,406,0,15,1
2702,71,13,614,48,1635,227,208,195,2134,3,9,6
3630,84,3,485,39,3229,231,251,123,2069,0,18,7
2819,119,26,89,159,2831,256,235,141,130,2,29,5
2670,238,14,314,13,921,130,239,161,476,2,12,2
2867,160,3,283,-10,4919,220,248,175,3601,2,37,7
2944,334,12,84,-6,2909,237,221,204,4140,0,21,1
2613,164,16,380,16,3652,255,239,129,2921,0,28,2
2443,5,6,40,37,429,207,205,183,1746,2,11,5
3423,116,2,89,-47,1405,213,224,143,2806,0,29,1
3252,285,13,37,4,1033,164,234,154,824,2,31,2
2788,248,22,-20,-14,3917,173,199,130,2299,2,11,2
2927,99,12,35,75,1160,198,209,124,906,2,2,2
2021,56,20,455,-113,-367,185,205,116,76,3,11,6
2647,186,23,381,0,1056,232,198,140,2249,2,30,2
2155,324,19,176,55,704,185,251,185,1041,3,9,6
2919,104,19,240,-12,5964,247,218,99,794,0,28,2
2288,-19,49,-61,12,-359,243,201,128,2987,3,17,2
2949,264,26,11,13,798,182,190,214,2812,2,11,2
3328,234,13,190,22,644,191,257,208,26,2,32,4
2236,-19,49,-59,11,-349,243,202,137,876,3,17,2
2986,-2,17,-16,2,772,213,161,134,2127,2,21,2
3184,83,18,1199,75,499,168,244,157,1788,2,22,1
3321,72,18,488,77,558,189,242,138,1920,2,22,2
2775,-22,46,-39,59,-344,242,199,154,871,3,17,2
2431,318,28,27,248,1896,147,165,196,535,3,19,3
2735,189,11,136,-3,1594,208,199,116,941,2,11,2
2561,311,24,304,263,1300,147,180,200,360,3,19,6
2246,-22,49,-59,12,-360,242,217,129,1156,3,17,2
2239,316,18,231,133,1079,77,247,181,2522,3,9,6
2785,26,10,40,-6,2265,186,222,123,1307,2,22,3
2890,288,16,385,-3,1431,161,231,206,607,2,31,2
2259,307,14,118,-13,1647,138,233,147,998,2,12,2
3303,106,14,31,130,5451,265,239,113,1659,0,15,1
3382,124,2,49,59,2102,215,236,127,3131,0,29,2
2563,101,19,143,90,330,188,194,122,863,2,30,2
2557,310,12,359,42,2150,167,235,167,520,2,32,2
2946,360,14,93,-9,3084,230,245,133,1799,0,22,1
2304,-20,49,-61,12,-364,242,216,144,1161,3,17,2
3634,37,0,486,140,3232,233,248,128,1020,0,18,7
3363,232,13,23,139,5350,264,241,89,1613,0,15,1
3632,92,10,484,40,3169,229,250,131,1918,0,18,7
2999,75,13,110,41,395,175,222,128,3424,2,30,5
2752,288,16,343,41,2225,129,237,220,1893,2,32,2
3429,172,-2,8,12,3296,233,250,126,1156,0,21,1
2906,165,16,366,-5,2365,254,220,128,6964,0,28,2
2790,12,32,107,-1,1590,184,218,166,1141,2,22,1
3245,133,13,1095,78,457,179,243,151,1868,2,22,1
2893,159,22,491,43,5914,253,227,128,3546,0,28,2
3293,250,20,150,39,584,174,244,166,1895,2,22,1
2889,177,9,-52,-11,3799,234,255,172,939,0,37,2
2800,193,25,77,-27,1818,186,193,11,835,2,11,1
3156,310,13,292,35,890,167,237,142,630,2,1,2
3416,32,9,107,130,5409,264,237,141,1763,0,15,1
2950,120,9,823,12,4773,252,234,140,3040,0,28,2
2081,262,13,524,92,1749,74,199,235,1106,3,9,4
3385,77,11,1256,82,451,184,243,162,1611,2,22,1
2510,122,18,357,29,2640,191,200,137,2168,2,30,2
2995,137,8,79,25,1582,218,222,147,1813,0,29,7
2831,235,-3,421,209,2039,214,240,152,1123,2,23,7
2616,83,35,78,-28,1702,180,227,139,2080,3,9,6
3308,323,25,433,-5,53,145,139,214,4724,1,31,1
2841,178,22,68,139,243,211,175,73,-16,0,38,5
2199,163,26,175,117,471,249,208,109,600,3,0,5
2515,212,12,229,29,2090,189,236,192,1055,2,32,2
3293,84,14,870,84,621,171,243,142,2277,2,22,1
3286,360,9,595,-5,-208,199,253,205,4992,1,31,1
2842,136,18,354,-9,1740,242,232,123,1993,0,28,2
2512,277,16,248,47,2183,161,239,206,605,2,1,2
2654,106,2,342,59,1089,238,239,129,626,0,28,2
2328,-20,2,-51,-8,1849,238,231,159,1905,3,3,3
2332,-19,7,-12,-26,470,243,213,160,1034,3,16,3
2523,62,31,386,30,1847,225,215,155,2319,3,9,6
3456,227,15,157,32,825,99,254,210,502,2,2,4
2707,167,34,136,137,2567,261,250,146,203,0,38,5
3320,269,15,794,46,733,188,242,129,2112,2,22,1
3378,263,20,1144,84,435,184,248,140,1594,2,22,1
2909,126,13,588,74,1017,234,239,146,1043,0,28,2
2945,126,18,369,33,1401,251,214,127,5677,0,28,2
2990,133,2,53,50,1445,210,232,134,2347,0,29,7
2716,59,20,44,74,4278,202,206,139,838,2,30,2
3138,126,2,124,43,1411,219,227,147,1906,0,29,7
2530,354,28,59,268,720,115,230,236,361,3,19,3
2923,99,13,320,54,738,255,231,125,3014,0,28,2
2493,202,22,-1,70,2663,200,218,119,1230,2,22,2
2955,171,20,109,77,711,237,211,144,2020,2,11,5
3629,82,4,485,54,3263,231,251,122,1396,0,18,7
2857,381,21,571,-16,1623,240,189,150,4402,0,10,2
2044,179,37,3,57,881,255,178,89,581,0,0,5
3618,71,10,480,45,3295,231,251,52,1438,0,18,7
2851,162,13,361,5,783,241,219,136,6471,0,28,2
3295,261,15,710,77,576,213,244,143,1958,2,22,1
2952,88,9,366,39,1166,239,240,120,670,0,28,2
3372,72,11,42,129,5469,264,239,130,1642,0,15,1
2572,2,22,350,12,850,231,194,102,869,2,22,2
2603,317,11,110,-9,5497,217,245,125,2008,0,39,1
3971,-19,-3,-40,12,3296,233,251,114,1096,0,21,1
3238,128,15,24,115,5382,265,238,91,1726,0,15,1
2441,346,12,374,8,1322,144,229,148,281,2,16,2
2926,80,10,90,-3,1164,252,218,110,926,2,5,2
2185,123,31,188,18,475,228,206,88,-72,0,3,5
2985,55,13,75,15,756,205,226,133,1936,2,22,2
2861,194,17,407,33,1496,202,209,136,2368,2,12,1
3420,252,16,999,70,576,179,249,178,2961,2,1,1
2558,-15,49,-50,58,-366,242,201,132,1073,3,17,2
2576,40,6,384,-28,1538,170,187,126,2196,3,9,6
2829,177,27,157,126,2482,250,241,106,-197,2,38,5
3323,59,3,348,0,1120,230,233,120,2246,2,37,7
2961,60,21,63,68,3119,175,200,128,2609,2,22,1
3329,39,10,34,138,5309,264,239,74,1584,0,15,1
2567,322,12,127,52,1993,162,224,147,647,2,32,2
2982,3,21,63,46,3691,136,205,130,2419,2,3,2
3161,167,5,13,101,651,184,245,199,5075,1,22,1
2632,269,-2,104,-5,1579,164,228,143,767,2,12,2
3059,126,12,570,-9,4886,253,241,137,1837,0,28,2
3367,131,2,-27,-79,1749,230,243,139,2604,0,28,1
3190,147,15,780,-11,2757,184,256,206,221,2,32,4
2630,190,32,163,168,612,226,248,39,-171,2,29,5
3007,168,23,364,40,1971,254,239,136,2582,0,28,2
2477,-15,49,-42,12,-345,243,202,166,1102,3,17,2
3024,63,10,97,-8,5107,230,229,146,3468,0,21,1
2921,168,21,585,-20,5751,252,233,134,1154,0,28,2
2595,276,13,281,44,1662,179,236,153,708,2,32,2
2915,132,21,361,-23,1693,236,235,144,1432,0,28,2
2911,125,22,142,90,2527,255,183,92,87,1,29,5
2460,72,29,268,28,1769,230,212,183,1909,3,9,6
2879,165,22,48,4,4067,218,200,127,2483,2,12,1
2672,339,28,54,266,1243,147,191,192,464,3,19,3
2664,264,13,232,41,1555,156,235,157,585,2,32,2
2804,91,11,234,109,2652,239,209,111,288,0,3,5
2731,176,7,410,46,822,177,208,127,1950,2,30,2
2933,130,21,345,-20,878,242,237,128,640,0,28,2
2824,163,21,29,149,3395,247,189,157,240,2,3,5
3050,164,6,690,37,939,235,240,139,6257,0,28,1
2960,219,9,100,-9,5050,215,232,140,4083,0,21,1
2495,259,12,424,61,1300,134,234,165,266,2,32,2
2932,201,26,22,-2,2100,183,213,126,2110,2,3,3
2578,172,12,100,19,1916,147,248,166,321,2,32,2
2795,192,31,170,120,1928,262,246,56,786,2,2,5
2982,198,37,51,112,422,260,175,169,23,2,19,5
3629,72,11,486,-190,3239,228,251,125,1081,0,18,7
2222,53,17,-45,-87,-172,237,212,83,273,3,11,6
2070,362,24,301,-109,-332,210,205,88,828,3,11,6
2517,-20,49,-59,12,-341,243,202,131,1175,3,17,2
2455,310,49,-61,56,-343,243,220,136,1105,3,17,2
2956,130,10,-8,30,994,189,214,131,3184,2,3,2
3065,144,8,15,-10,3800,233,257,226,972,0,37,2
2762,118,5,545,1,3385,241,231,123,2978,0,28,2
2676,158,28,312,73,3104,261,195,53,76,2,30,5
2772,246,18,29,13,4026,103,213,113,1146,2,1,2
3398,88,11,40,131,5207,265,236,127,1609,0,15,1
2502,-20,49,-58,12,-361,243,206,150,1032,3,17,2
2702,196,38,51,88,2782,264,204,61,-79,0,25,5
2926,74,19,686,43,349,222,223,129,1644,0,5,2
3142,133,2,38,11,1381,214,222,143,2863,0,29,7
3385,155,12,22,111,5468,264,233,112,1546,0,15,1
3624,61,8,479,38,3281,227,250,123,1840,0,18,7
2883,118,20,541,-120,808,248,239,116,3378,0,28,2
3332,254,16,1299,75,485,185,243,166,1756,2,22,1
3353,292,10,70,136,5489,264,239,111,1782,0,15,1
3326,106,12,31,136,5510,265,239,110,1701,0,15,1
2716,319,27,411,259,1409,115,205,204,384,3,19,3
3040,205,21,48,-8,1743,184,175,242,2339,2,11,3
2877,193,18,75,18,949,220,217,209,2186,2,0,5
2418,-14,49,-55,12,-358,243,201,126,924,3,17,2
2326,335,9,-58,-19,1600,239,196,170,1015,3,5,3
2930,166,20,342,36,1622,242,243,129,1138,0,28,2
2652,202,32,186,-17,3333,258,196,117,365,0,11,5
2418,136,22,94,11,3811,212,213,118,1237,2,19,1
3388,68,10,107,138,5448,264,258,114,1719,0,15,1
2993,224,19,35,3,417,187,194,111,2139,2,12,2
3631,62,8,480,-1,3278,231,251,125,1734,0,18,7
3183,247,-3,393,160,2399,214,258,176,964,2,23,1
2495,-17,48,-53,13,-343,243,202,157,933,3,17,2
3970,-17,-3,21,13,3292,233,251,114,991,0,21,1
2562,302,18,150,-8,1493,130,236,176,1212,2,3,2
2007,125,23,460,34,1414,107,221,131,814,2,12,3
2958,291,16,18,-20,988,235,240,149,1921,0,2,1
3360,221,21,711,137,4,208,219,197,2330,1,22,1
2812,166,36,128,140,377,260,194,33,-148,2,11,5
2724,125,18,359,28,553,243,239,137,2158,0,30,2
2469,-20,49,-59,11,-347,243,199,133,1150,3,17,2
1807,276,23,163,81,1353,132,209,200,2463,3,9,4
2654,309,27,90,256,949,115,222,177,449,3,19,3
2245,55,17,28,-105,-349,198,211,70,186,3,11,6
2773,113,19,587,13,3685,225,219,112,2054,2,30,2
3010,247,11,107,-10,1096,222,235,126,1753,0,22,1
2625,169,22,575,29,1417,242,223,127,1904,0,28,2
3190,135,2,67,43,1259,225,236,143,1870,0,29,1
2764,47,11,159,26,1677,189,225,174,2401,3,9,6
2108,272,21,147,194,1439,139,189,192,910,3,9,4
2219,287,19,217,93,678,154,178,229,1149,3,2,4
3429,-15,-3,-26,12,3302,233,251,114,986,0,21,1
3635,81,9,484,37,3245,229,250,130,1557,0,18,7
3214,226,20,452,33,3374,217,212,123,2467,2,22,3
3091,187,-3,436,223,2774,218,260,167,1048,2,23,1
2652,140,27,73,144,1038,252,237,70,83,2,3,5
2897,214,22,527,34,2047,188,140,212,2075,2,1,1
2193,57,10,-29,-7,1846,192,164,115,1194,2,12,5
2891,160,30,151,118,3276,251,250,107,378,2,38,5
2092,49,26,-19,-114,-359,193,221,90,660,3,11,6
3401,244,16,23,96,5463,265,240,128,1559,0,15,1
2412,264,13,208,24,1632,132,236,222,1057,2,32,2
2329,-14,49,-55,13,-360,241,208,124,765,3,17,2
2941,342,16,118,-7,2270,240,239,142,1913,0,21,1
2431,285,13,285,11,703,131,233,196,308,2,16,2
3056,279,16,159,-12,969,201,255,210,584,2,32,4
3233,234,13,179,-22,2542,188,259,202,920,2,32,4
3346,81,9,1037,88,-306,181,247,157,1969,2,22,2
2675,57,24,634,-119,1680,174,221,196,651,3,9,6
3610,84,11,483,40,3294,231,251,142,2233,0,18,7
3599,112,5,25,135,2634,254,239,67,1538,0,15,1
2818,227,-3,472,155,1805,230,251,141,1983,2,23,1
3100,58,14,82,-10,5353,232,238,221,2470,0,22,1
3940,73,10,326,-121,1605,224,220,133,1808,3,9,6
3634,84,11,480,36,3270,226,260,118,1294,0,18,7
2886,131,12,541,-7,1213,241,226,120,903,0,28,2
3378,79,14,1151,85,567,181,250,156,2006,2,22,1
3116,132,2,33,48,3132,216,217,142,2340,0,29,7
3339,249,20,1274,80,450,168,246,165,2006,2,22,1
2886,134,21,46,-18,3764,191,198,133,2584,2,11,2
3258,259,19,756,69,746,178,212,143,1858,2,22,1
3625,82,2,485,89,3293,229,249,118,1119,0,18,7
3225,89,20,728,78,743,217,250,148,2356,2,22,1
3223,216,13,37,38,2935,197,254,204,239,2,32,4
2328,-18,9,-61,-18,1244,237,170,163,974,3,16,3
3049,136,13,81,128,5379,265,240,77,1875,0,15,1
2981,88,19,96,-4,2686,184,223,144,956,2,30,2
2683,159,19,363,5,2837,254,238,152,6987,0,28,2
3110,135,2,50,26,1676,216,218,123,2234,0,29,1
2887,174,29,515,136,3539,263,235,185,27,0,8,5
3138,166,2,56,46,1232,218,221,120,2444,0,29,1
2830,80,16,350,-11,2290,263,231,136,6689,0,28,2
2763,176,23,206,150,3237,256,238,103,-31,0,0,5
2560,295,12,212,64,879,157,231,170,886,2,31,2
3333,259,19,1411,90,-154,169,243,133,2218,2,22,2
2131,292,23,245,81,1206,120,159,202,519,3,2,4
2785,223,11,364,145,3723,226,198,124,2167,2,11,2
2568,302,12,184,28,1417,154,229,183,456,2,32,2
2897,115,15,46,-2,2678,191,207,225,2128,2,30,1
3271,79,24,97,76,569,181,250,165,1422,2,22,1
2964,93,21,322,-12,4117,255,210,106,1116,0,28,2
2851,174,31,11,98,398,262,244,79,-20,0,29,5
3255,98,12,1202,78,500,198,244,146,1747,2,22,1
1966,108,36,147,9,1104,244,221,117,986,2,5,2
2922,146,19,374,-6,912,253,219,124,2612,0,28,2
3031,22,18,422,-2,1672,175,214,108,2615,2,3,1
2871,125,31,91,94,2711,254,233,84,-164,1,38,5
3097,179,34,117,52,2719,261,202,87,1492,0,29,5
2777,148,32,222,139,2934,259,245,68,351,0,29,5
2891,140,21,384,31,604,186,218,134,2494,2,12,2
3414,112,2,134,25,1340,202,225,144,1248,0,29,1
2322,-9,2,-13,-4,2917,241,222,172,402,3,16,3
2613,348,28,34,234,1404,147,209,186,412,3,19,3
2832,151,14,431,19,1523,234,217,133,1789,2,11,1
3377,335,8,23,126,5506,259,239,115,1570,2,15,1
2453,367,28,27,265,1062,147,193,171,372,3,19,3
3127,140,18,25,71,792,187,223,141,2071,2,5,6
2805,142,23,197,111,317,260,198,94,138,2,0,5
2649,245,13,109,-29,1925,227,230,143,4229,0,21,1
2979,154,8,-44,-10,3832,234,255,174,1465,0,37,2
2642,153,19,699,29,304,241,221,119,1488,0,28,2
2801,215,20,395,28,917,186,217,162,2115,2,9,1
2866,343,17,222,15,649,180,236,186,875,2,31,2
2735,282,15,57,32,1617,119,236,191,510,2,16,2
2543,21,12,118,-300,1845,209,255,142,2549,2,37,7
2501,313,19,179,-3,728,135,237,143,861,2,31,2
2996,239,-3,442,156,3158,223,259,174,1108,2,23,1
3348,78,22,1214,76,458,182,244,158,2100,2,22,1
2601,268,14,149,5,1826,128,219,173,1284,2,32,2
2535,289,12,68,43,1245,131,232,217,960,2,32,2
2492,258,13,157,5,1437,149,232,156,409,2,16,2
3633,26,8,485,84,3281,230,250,131,1159,0,18,7
3255,167,12,124,61,930,133,226,127,286,2,1,2
3327,91,9,1249,91,501,172,245,162,2078,2,22,1
2780,169,12,324,154,2671,260,236,106,-13,0,3,5
2900,141,12,175,56,477,165,232,207,525,2,32,2
3455,202,23,478,206,2545,196,246,193,3626,1,31,1
2966,328,10,-9,9,438,228,214,126,2223,2,3,3
2705,371,26,38,254,1183,147,221,174,389,3,19,6
2324,321,2,-36,-22,1445,241,221,217,1312,3,16,3
2558,256,12,437,13,-129,121,233,239,640,2,32,2
2959,192,8,-47,-11,3815,234,252,146,1153,0,37,2
2443,234,17,337,9,2206,188,225,201,1021,2,25,2
2797,196,34,229,160,531,259,235,59,-275,2,39,5
3196,213,11,154,0,1309,202,255,208,296,2,32,4
2913,132,21,357,-42,1442,242,244,148,3560,0,28,2
3260,255,19,154,83,459,172,244,166,2017,2,22,1
2451,-15,49,-59,7,-335,243,200,140,1054,3,17,2
2371,308,49,-55,12,-342,243,200,139,1089,3,17,2
2983,109,8,105,13,1029,175,210,118,1764,2,39,1
3201,266,13,150,64,815,157,239,161,1838,2,16,2
2536,-17,49,-55,51,-362,242,200,175,999,3,17,2
3010,122,18,355,-15,4367,254,211,123,4142,0,28,2
2627,90,12,86,-8,1984,234,236,210,1971,0,21,1
2544,377,28,44,256,1380,147,191,217,357,3,19,3
2130,349,26,423,67,1523,153,209,213,571,3,2,4
2377,-18,49,-50,12,-353,243,204,126,1160,3,17,2
3633,55,8,484,75,3266,229,251,131,1794,0,18,7
3030,234,-3,95,6,2749,231,251,175,1272,2,23,1
2488,-19,49,-57,56,-363,242,201,144,1130,3,17,2
3217,253,20,90,-20,815,206,255,213,1018,2,32,4
3625,65,9,475,51,3259,220,250,124,1486,0,18,7
2730,239,22,95,-20,684,215,214,153,2542,2,30,2
2897,129,8,583,-136,1665,236,236,128,2091,0,11,2
3339,143,19,24,134,5515,264,239,111,1581,0,15,1
1836,293,17,143,99,1646,126,201,178,1060,3,9,6
3257,264,12,190,13,1402,121,230,220,774,2,32,2
3279,77,11,692,82,615,182,244,156,2248,2,22,1
2584,319,27,39,186,573,115,164,216,353,3,19,3
2557,315,12,97,9,606,165,236,178,707,2,32,2
3349,85,16,1153,77,450,172,244,146,2012,2,22,1
2928,78,19,218,29,743,234,219,90,1073,0,30,2
2252,320,18,191,92,1164,136,243,196,2446,3,9,4
3367,135,2,46,28,1390,222,232,149,2544,0,29,1
3374,94,2,41,85,1506,212,224,134,2643,0,29,7
2713,137,23,178,109,600,245,237,87,437,2,11,5
2425,308,49,-59,13,-342,243,215,123,1188,3,17,2
2569,52,12,117,49,1478,138,237,173,574,2,1,2
3414,-12,0,-17,12,3301,234,251,115,955,0,21,1
3634,65,7,483,69,3221,228,251,124,1691,0,18,7
3004,223,-3,456,273,1933,217,248,156,1611,2,23,1
2971,-3,6,23,-7,1892,184,224,139,2570,2,3,3
3217,247,20,628,85,457,185,251,138,1746,2,22,1
2874,173,32,72,98,3040,260,244,95,450,2,29,5
3626,84,6,486,39,3293,228,250,119,1330,0,18,7
2747,337,12,113,-9,2429,206,240,155,1834,0,29,1
3403,61,20,54,134,2618,264,240,68,1647,0,15,1
2802,76,17,132,77,3091,209,204,120,2047,2,16,2
3013,118,20,853,11,4782,251,217,113,6146,0,28,2
2568,-13,13,62,10,1659,165,234,169,622,2,1,2
2524,274,14,200,29,285,177,236,172,74,2,32,2
2405,220,23,560,26,2889,175,155,136,1132,2,5,5
3363,244,16,-57,54,5501,264,240,110,2115,2,15,1
3373,48,10,32,129,5469,265,238,105,1616,0,15,1
2565,-19,49,-59,43,-302,242,201,143,1095,3,17,2
2932,211,9,-9,28,4083,194,232,35,6085,2,11,2
2805,67,10,43,9,5533,197,214,134,2471,2,22,2
3990,-18,-3,55,12,3291,231,251,115,896,0,21,1
3630,117,2,486,47,3295,228,250,128,2301,0,18,7
3402,361,8,453,-6,194,144,250,197,3908,1,31,1
2944,9,17,34,-2,4104,205,192,131,1042,2,22,1
2831,150,10,172,147,921,262,191,112,324,2,29,5
2625,353,27,40,267,812,115,226,181,372,3,19,3
3321,79,14,1078,75,527,168,246,152,1880,2,22,1
2418,89,31,105,-119,1800,239,222,176,1619,3,9,6
3279,80,16,1028,86,540,211,243,146,1678,2,22,1
3016,107,16,26,130,5485,264,258,168,1555,0,15,1
3092,133,2,57,71,1364,230,232,124,2013,0,29,7
2322,-17,9,-44,11,1149,237,222,169,1161,3,16,3
3633,84,12,486,40,3273,232,250,126,1222,0,18,7
2547,260,13,254,54,2481,152,237,217,837,2,31,2
2747,141,13,462,18,1671,127,236,197,1008,2,32,2
2539,271,14,377,53,343,176,236,199,1820,2,1,2
2507,308,49,-39,55,-345,243,199,127,1183,3,17,2
2449,223,29,39,205,903,201,214,180,2084,2,9,1
3387,169,19,21,133,5476,265,240,96,1692,0,15,1
